Site ID,Subject,Activity,Work Period,Time at Work,Interval Length,Break/Work Start Time,Interval Start Time,Mean,STDEV,Variance,Mode,Median,Max,Min,Range
K,713,Ladder,End_Lunch,15 before end of lunch,15 min,9:53 AM,9:38 AM,85.54699453,4.755938734,22.61895324,#N/A,85.418033,93.795082,77.040984,16.754098
K,713,Ladder,End_Work,15 before end of work,15 min,15:00,14:25,100.0306289,24.3179689,591.3636114,#N/A,107.627049,122.639344,25.121212,97.518132
K,714,Ladder,Start_Work,10 min before start of work,10 min,7:15,6:45 AM,71.6959017,4.36252898,19.0316591,#N/A,72.0286885,76.92623,63.983607,12.942623
K,714,Ladder,Start_Lunch,15 before start of lunch,15 min,9:22 AM,9:07 AM,107.5220287,9.929390366,98.59279305,#N/A,111.282787,119.803279,88.188525,31.614754
K,714,Ladder,End_Lunch,15 before end of lunch,15 min,9:55 AM,9:40 AM,78.8601435,9.659214395,93.30042273,#N/A,76.2540985,108.07377,68.327869,39.745901
K,714,Ladder,End_Work,15 before end of work,15 min,15:16,14:11,117.2684427,12.10876686,146.6222349,#N/A,116.352459,133,95.131148,37.868852
K,715,Ladder,Start_Work,10 min before start of work,10 min,7:15 AM,6:38 AM,65.2844262,3.194296522,10.20353027,#N/A,65.213115,70.213115,60.614754,9.598361
K,715,Ladder,Start_Lunch,15 before start of lunch,15 min,9:20 AM,9:05 AM,114.7606557,22.74845803,517.4923426,#N/A,118.688525,149.295082,66.868852,82.42623
K,715,Ladder,End_Lunch,15 before end of lunch,15 min,9:52 AM,9:37 AM,67.8765028,6.270076453,39.31385872,#N/A,65.860656,84.877049,61.901639,22.97541
K,715,Ladder,End_Work,15 before end of work,15 min,15:16,15:01,107.2592213,6.617303202,43.78870167,#N/A,104.75,121.204918,98.040984,23.163934
K,716,Ladder,Start_Work,10 min before start of work,10 min,7:15 AM,6:42 AM,80.9926229,2.786428341,7.764182897,#N/A,80.7295085,87.163934,76.942623,10.221311
K,716,Ladder,Start_Lunch,15 before start of lunch,15 min,9:23 AM,9:08 AM,119.4943647,10.23725785,104.8014483,#N/A,123.70082,134.991803,105.491803,29.5
